Код_ISO_субъекта,Субъект_РФ,Место_в_регионе,Профессиональная_группа,Сложность_поиска_работы_в_группе_1_10,Индекс_при_других_настройках_min,Индекс_при_других_настройках_max,Лучшее_место_при_других_настройках,Худшее_место_при_других_настройках,Потребность_в_общем_числе_рабочих_мест_pct,Требуется_работников_человек,Списочная_численность_работников_человек,Требуется_на_10_тыс_рабочей_силы,Эквивалент_вакансий_с_учетом_оплаты,Оценочная_зарплата_группы_2025_руб,Оценочный_зарплатный_запас_группы_2025_руб,Средняя_зарплата_группы_по_РФ_2025_руб,Привлекательность_зарплаты_1_10,Вес_качества_оплаты_0_1,Медианная_зарплата_региона_2025_руб,Прожиточный_минимум_трудоспособных_2025_руб,Лог_отношение_доли_занятых_к_доле_вакансий,Kappa_метод_моментов,Оценка_межрегиональной_дисперсии,Робастный_z_доли_вакансий,Статус_наблюдения,Структурный_ноль_локального_рынка,Размер_группы_к_медианной_группе_региона,Сложность_трудоустройства_в_регионе_1_10,Скорректированная_доля_вакансий_pct,Доля_вакансий_с_учетом_оплаты_pct,Вес_региональных_данных_pct,Доля_группы_среди_занятых_pct,Доля_группы_среди_вакансий_pct
RU-ALT,Алтайский край,7,Офисные и учётные служащие,5.61,5.49,5.72,6,7,6.85,1078.18,14661.34,9.47,719.8073867810946,36677.343500138915,19475.343500138915,64878.0,2.86,0.6676133732596548,54938.0,17202.0,-0.360125725746312,101.86360214376505,0.0006524156213050596,0.3,Устойчивая база,False,0.40149025256522247,8.05,6.85,4.57,99.4,4.66,6.7
RU-ALT,Алтайский край,8,"Промышленность, строительство и транспорт",5.16,5.07,5.26,8,8,5.78,2405.38,39180.92,21.14,2405.38,55469.973553957134,38267.973553957134,98120.0,5.83,1.0,54938.0,17202.0,-0.18222451146783006,52.95679822120663,0.0017222836868633143,-1.46,Устойчивая база,False,1.0729413182245127,8.05,5.79,5.79,99.9,12.46,14.95
RU-ALT,Алтайский край,9,"Операторы машин, сборщики и водители",4.33,4.2,4.46,9,9,6.7,2957.68,41172.62,25.99,2957.68,55357.47330184504,38155.47330184504,97921.0,5.77,1.0,54938.0,17202.0,-0.33867110217562796,119.67320227989055,0.0006663313462581509,-0.57,Устойчивая база,False,1.1274825904434336,8.05,6.71,6.71,99.7,13.09,18.38
RU-AMU,Амурская область,1,Неквалифицированные рабочие,6.49,6.16,6.81,1,1,6.93,1330.22,17872.77,32.54,712.7112312330853,46219.448183249464,23991.448183249464,52067.0,3.71,0.5357844801860484,86265.0,22228.0,-0.00252510513265061,70.670421472643,0.0011936050185097405,-0.04,Устойчивая база,False,1.0,3.85,6.94,3.72,99.6,10.5,10.52
RU-AMU,Амурская область,2,Руководители,5.92,5.89,5.96,2,2,5.42,729.24,12728.06,17.84,729.24,158000.26085882753,135772.26085882753,177990.0,9.84,1.0,86265.0,22228.0,0.263492271866243,146.16402115495765,0.0002852555978408675,1.1,Устойчивая база,False,0.7121481449154216,3.85,5.41,5.41,98.9,7.48,5.77
RU-AMU,Амурская область,3,Специалисты средней квалификации,5.59,5.55,5.63,3,4,6.13,1229.25,18823.44,30.07,1084.326536597413,76094.71521625042,53866.71521625042,85722.0,7.8,0.8821041583058068,86265.0,22228.0,0.12911082067262133,103.46780906003967,0.000599737808997421,0.0,Устойчивая база,False,1.053190971517006,3.85,6.13,5.41,99.5,11.06,9.72
RU-AMU,Амурская область,4,Офисные и учётные служащие,5.56,5.37,5.76,3,4,7.12,520.58,6788.03,12.73,347.54616985151114,57591.667644244124,35363.667644244124,64878.0,5.32,0.6676133732596549,86265.0,22228.0,-0.030340650377332693,101.86360214376505,0.0006524156213050596,0.42,Устойчивая база,False,0.3797973117765181,3.85,7.12,4.75,98.6,3.99,4.12
RU-AMU,Амурская область,5,"Обслуживание, торговля и охрана",4.8,4.6,5.0,5,7,8.48,1330.26,14362.53,32.54,814.7002352360078,52831.86429166795,30603.864291667953,59516.0,4.67,0.6124368433509297,86265.0,22228.0,-0.21900675690977867,111.62161988428772,0.0006390395513437586,0.8,Устойчивая база,False,0.8035984349376174,3.85,8.48,5.19,99.3,8.44,10.52
RU-AMU,Амурская область,6,"Операторы машин, сборщики и водители",4.75,4.69,4.8,5,6,6.51,1948.75,27985.47,47.67,1948.75,86923.66730466457,64695.667304664574,97921.0,8.37,1.0,86265.0,22228.0,0.06408943011521592,119.67320227989055,0.0006663313462581509,-0.66,Устойчивая база,False,1.5658160430643935,3.85,6.52,6.52,99.6,16.44,15.41
RU-AMU,Амурская область,7,Специалисты высшей квалификации,4.69,4.63,4.74,6,7,6.59,2674.68,37939.42,65.43,2674.68,91430.478498441,69202.478498441,102998.0,8.52,1.0,86265.0,22228.0,0.05345181957295665,144.61887250545854,0.00038278707116992195,0.56,Устойчивая база,False,2.1227498591432665,3.85,6.59,6.59,99.6,22.29,21.15
